"","FID","OBJECTID","AmbulanceR","BikeAge_Gr","Bike_Age","Bike_Alc_D","Bike_Dir","Bike_Injur","Bike_Pos","Bike_Race","Bike_Sex","City","County","CrashAlcoh","CrashDay","Crash_Date","Crash_Grp","Crash_Hour","Crash_Loc","Crash_Mont","Crash_Time","Crash_Type","Crash_Ty_1","Crash_Year","Crsh_Sevri","Developmen","DrvrAge_Gr","Drvr_Age","Drvr_Alc_D","Drvr_EstSp","Drvr_Injur","Drvr_Race","Drvr_Sex","Drvr_VehTy","ExcsSpdInd","Hit_Run","Light_Cond","Locality","Num_Lanes","Num_Units","Rd_Charact","Rd_Class","Rd_Conditi","Rd_Config","Rd_Defects","Rd_Feature","Rd_Surface","Region","Rural_Urba","Speed_Limi","Traff_Cntr","Weather","Workzone_I","Location","locx","locy"
"1",18,19,"No","",6,"No","Not Applicable","C: Possible Injury","Driveway / Alley","Black","Female","Durham","Durham","No","01-01-06","2007-01-06","Bicyclist Failed to Yield - Midblock",13,"Non-Intersection","","0001-01-01T08:21:58-04:56","Bicyclist Ride Out - Residential Driveway",353311,2007,"C: Possible Injury","Residential","60-69",66,"No","11-15 mph","O: No Injury","Black","Male","Pickup","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","36.002743, -78.8785",-78.8785,36.002743
"2",29,30,"Yes","50-59",51,"No","With Traffic","C: Possible Injury","Travel Lane","Black","Male","Greenville","Pitt","No","01-01-02","2007-01-09","Crossing Paths - Other Circumstances",23,"Intersection-Related","","0001-01-01T18:12:58-04:56","Crossing Paths - Intersection - Other /",211180,2007,"C: Possible Injury","Commercial","30-39",34,"No","0-5 mph","O: No Injury","Black","Male","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","5 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Coastal","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No","35.612984, -77.39265",-77.39265,35.612984
"3",33,34,"No","",10,"No","With Traffic","Injury","Travel Lane","Black","Male","Farmville","Pitt","No","01-01-07","2007-01-14","Bicyclist Failed to Yield - Sign-Controlled Intersection",16,"Intersection","","0001-01-01T11:48:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",111144,2007,"O: No Injury","Residential","50-59",52,"No","21-25 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Coastal","Rural","30 - 35  MPH","Stop Sign","Clear","No","35.595676, -77.59074",-77.59074,35.595676
"4",35,36,"Yes","16-19",17,"No","","B: Evident Injury","Travel Lane","White","Male","Charlotte","Mecklenburg","No","01-01-05","2007-01-12","Loss of Control / Turning Error",19,"Intersection","","0001-01-01T14:59:58-04:56","Motorist Lost Control - Other /",119139,2007,"B: Evident Injury","Residential","30-39",33,"No","46-50 mph","O: No Injury","White","Female","Sport Utility","No","No","Dark - Roadway Not Lighted","Urban (>70% Developed)","4 lanes",3,"Straight - Level","NC Route","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","Stop And Go Signal","Cloudy","No","35.076767, -80.7728",-80.7728,35.076767
"5",49,50,"No","",6,"No","Facing Traffic","O: No Injury","Travel Lane","Black","Male","Charlotte","Mecklenburg","No","","2007-01-15","Loss of Control / Turning Error",12,"Intersection","","0001-01-01T08:00:58-04:56","Bicyclist Turning Error - Left Turn",112114,2007,"O: No Injury","Residential","",NA,"Missing","16-20 mph","Injury","/Missing","","","No","Yes","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Hillcrest","Local Street","Dry","Two-Way, Not Divided","None","Driveway, Public","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","Stop Sign","Clear","No","35.19999, -80.75713",-80.75713,35.19999
"6",53,54,"Yes","50-59",52,"No","With Traffic","A: Disabling Injury","Travel Lane","White","Male","Durham","Durham","No","","2007-04-02","Motorist Overtaking Bicyclist",20,"Non-Intersection","01-04-01","0001-01-01T15:28:58-04:56","Motorist Overtaking - Undetected Bicyclist",311231,2007,"A: Disabling Injury","Commercial","20-24",20,"No","41-45 mph","O: No Injury","White","Female","Passenger Car","No","No","Dark - Roadway Not Lighted","Urban (>70% Developed)","4 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","On or Off Ramp","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.966644, -78.96749",-78.96749,35.966644
"7",56,57,"Yes","16-19",18,"No","","C: Possible Injury","Travel Lane","Black","Female","Durham","Durham","No","","2007-04-02","Bicyclist Failed to Yield - Sign-Controlled Intersection",19,"Intersection","01-04-01","0001-01-01T14:22:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",119144,2007,"C: Possible Injury","Residential","40-49",40,"No","31-35 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.996304, -78.88007",-78.88007,35.996304
"8",60,61,"No","40-49",40,"No","Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","Hispanic","Male","Fayetteville","Cumberland","No","01-01-03","2007-01-31","Crossing Paths - Other Circumstances",14,"Intersection","","0001-01-01T09:48:58-04:56","Crossing Paths - Intersection - Other /",132180,2007,"B: Evident Injury","Commercial","",NA,"Missing","0-5 mph","Injury","/Missing","","","No","Yes","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Coastal","Urban","20 - 25  MPH","No Control Present","Clear","No","35.09925, -78.877464",-78.877464,35.09925
"9",63,64,"Yes","10-Jun",6,"No","Facing Traffic","B: Evident Injury","Travel Lane","White","Male","Morganton","Burke","No","01-01-03","2007-02-07","Bicyclist Failed to Yield - Sign-Controlled Intersection",16,"Intersection","01-02-01","0001-01-01T11:55:58-04:56","Bicyclist Ride Out - Sign-Controlled Intersection",112142,2007,"B: Evident Injury","Residential","0-19",17,"No","26-30 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","6 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Mountains","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.74463, -81.69225",-81.69225,35.74463
"10",66,67,"Yes","10-Jun",7,"No","","B: Evident Injury","Non-Roadway","Black","Female","None - Rural Crash","Sampson","No","01-01-05","2007-02-09","Non-Roadway",0,"Non-Roadway","01-02-01","0000-12-31T19:03:58-04:56","Non-Roadway",460910,2007,"B: Evident Injury","Farms, Woods, Pastures","50-59",51,"No","0-5 mph","O: No Injury","Black","Male","Sport Utility","No","No","Daylight","Rural (<30% Developed)","",2,"Other","Private Road, Driveway","Dry","Two-Way, Not Divided","None","No Special Feature","Soil","Coastal","Rural","50 - 55  MPH","No Control Present","Clear","No","35.184418, -78.50205",-78.50205,35.184418
"11",72,73,"No","40-49",45,"No","With Traffic","C: Possible Injury","Travel Lane","White","Male","None - Rural Crash","Wake","No","01-01-03","2007-02-14","Other / Unusual Circumstances",17,"Non-Intersection","01-02-01","0001-01-01T12:29:58-04:56","Motorist Intentionally Caused",311510,2007,"C: Possible Injury","Farms, Woods, Pastures","",NA,"No","16-20 mph","Injury","/Missing","","Passenger Car","No","Yes","Daylight","Rural (<30% Developed)","2 lanes",2,"Curve - Hillcrest","State Secondary Route","Dry","Two-Way, Not Divided","None","Driveway, Private","Coarse Asphalt","Piedmont","Rural","40 - 45  MPH","Double Yellow Line, No Passing Zone","Clear","No","35.68361, -78.72344",-78.72344,35.68361
"12",75,76,"Yes","30-39",30,"No","With Traffic","A: Disabling Injury","Travel Lane","Black","Male","Charlotte","Mecklenburg","No","01-01-07","2007-02-18","Motorist Failed to Yield - Sign-Controlled Intersection",18,"Intersection","01-02-01","0001-01-01T14:00:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",111141,2007,"A: Disabling Injury","Commercial","60-69",64,"No","6-10 mph","O: No Injury","White","Male","Passenger Car","No","No","Dark - Lighted Roadway","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.18636, -80.89053",-80.89053,35.18636
"13",82,83,"Yes","16-19",17,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Rocky Mount","Nash","No","01-01-04","2007-02-22","Bicyclist Failed to Yield - Sign-Controlled Intersection",14,"Intersection","01-02-01","0001-01-01T09:38:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",111144,2007,"B: Evident Injury","Residential","50-59",50,"No","21-25 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Coarse Asphalt","Coastal","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.988876, -77.796814",-77.796814,35.988876
"14",84,85,"Yes","20-24",20,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Burlington","Alamance","No","01-01-05","2007-01-26","Parallel Paths - Other Circumstances",17,"Non-Intersection","","0001-01-01T12:33:58-04:56","Parallel Paths - Other /",311280,2007,"B: Evident Injury","Residential","60-69",66,"No","31-35 mph","O: No Injury","White","Male","Truck/Trailer","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Grooved Concrete","Piedmont","Urban","30 - 35  MPH","Double Yellow Line, No Passing Zone","Clear","No","36.0626, -79.47011",-79.47011,36.0626
"15",85,86,"Yes","15-Nov",14,"No","Facing Traffic","C: Possible Injury","Travel Lane","White","Male","None - Rural Crash","Columbus","No","01-01-02","2007-03-20","Bicyclist Right Turn / Merge",19,"Non-Intersection","01-03-01","0001-01-01T14:13:58-04:56","Bicyclist Right Turn - Same Direction",312223,2007,"B: Evident Injury","Residential","30-39",30,"No","36-40 mph","B: Evident Injury","Black","Male","Tractor/Semi-Trailer","No","No","Daylight","Rural (<30% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Clear","No","34.450195, -78.917656",-78.917656,34.450195
"16",88,89,"No","15-Nov",15,"No","Not Applicable","C: Possible Injury","","Black","Male","Fayetteville","Cumberland","No","01-01-06","2007-02-24","Crossing Paths - Other Circumstances",16,"Intersection-Related","01-02-01","0001-01-01T11:22:58-04:56","Crossing Paths - Intersection - Other /",293180,2007,"C: Possible Injury","Commercial","30-39",34,"No","31-35 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","Four-Way Intersection","Smooth Asphalt","Coastal","Urban","50 - 55  MPH","Stop And Go Signal","Clear","No","35.037567, -79.006966",-79.006966,35.037567
"17",89,90,"No","16-19",19,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","None - Rural Crash","Wilson","No","01-01-06","2007-02-24","Bicyclist Failed to Yield - Sign-Controlled Intersection",10,"Intersection","01-02-01","0001-01-01T05:09:58-04:56","Bicyclist Ride Out - Sign-Controlled Intersection",111142,2007,"B: Evident Injury","Residential","20-24",24,"No","16-20 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","1 lane",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Rural","30 - 35  MPH","Stop Sign","Clear","No","35.721947, -77.89966",-77.89966,35.721947
"18",93,94,"Yes","15-Nov",11,"No","With Traffic","C: Possible Injury","Travel Lane","Native American","Male","Greenville","Pitt","No","01-01-06","2007-02-10","Bicyclist Left Turn / Merge",16,"Intersection-Related","01-02-01","0001-01-01T11:33:58-04:56","Bicyclist Left Turn - Opposite Direction",211222,2007,"C: Possible Injury","Residential","30-39",36,"No","31-35 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","35.648922, -77.39807",-77.39807,35.648922
"19",107,108,"No","16-19",16,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","Charlotte","Mecklenburg","No","01-01-05","2007-03-09","Bicyclist Failed to Yield - Signalized Intersection",12,"Intersection","01-03-01","0001-01-01T07:03:58-04:56","Bicyclist Failed to Clear - Trapped",111156,2007,"B: Evident Injury","Commercial","40-49",48,"No","0-5 mph","O: No Injury","Black","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","35.29199, -80.796616",-80.796616,35.29199
"20",125,126,"Yes","40-49",46,"Yes","Not Applicable","A: Disabling Injury","Non-Roadway","Black","Male","Lincolnton","Lincoln","Yes","01-01-05","2007-03-09","Bicyclist Failed to Yield - Midblock",14,"Non-Intersection","01-03-01","0001-01-01T09:18:58-04:56","Bicyclist Ride Out - Commercial Driveway / Alley",363312,2007,"A: Disabling Injury","Commercial","30-39",32,"No","41-45 mph","O: No Injury","Hispanic","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","5 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","40 - 45  MPH","No Control Present","Clear","No","35.476604, -81.239136",-81.239136,35.476604
"21",131,132,"No","70+",NA,"No","","O: No Injury","","Black","Male","Rocky Mount","Nash","No","01-01-06","2007-03-17","Crossing Paths - Other Circumstances",12,"Intersection","01-03-01","0001-01-01T07:40:58-04:56","Sign-Controlled Intersection - Other /",199148,2007,"O: No Injury","Residential","25-29",29,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Coastal","Urban","30 - 35  MPH","Stop Sign","Clear","No","35.958202, -77.80243",-77.80243,35.958202
"22",133,134,"No","60-69",65,"No","Facing Traffic","O: No Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male","Raleigh","Wake","No","01-01-07","2007-03-18","Motorist Failed to Yield - Signalized Intersection",12,"Intersection","01-03-01","0001-01-01T07:12:58-04:56","Motorist Drive Out - Right Turn on Red",132151,2007,"O: No Injury","Commercial","40-49",41,"No","0-5 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","9 or more lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop And Go Signal","Clear","No","35.78048, -78.64347",-78.64347,35.78048
"23",135,136,"Yes","40-49",45,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","Black","Male","Lumberton","Robeson","Yes","","2007-03-19","Motorist Failed to Yield - Sign-Controlled Intersection",19,"Intersection","01-03-01","0001-01-01T14:40:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",132141,2007,"C: Possible Injury","Residential","20-24",22,"Yes","0-5 mph","O: No Injury","White","Female","Passenger Car","No","Yes","Daylight","Urban (>70% Developed)","6 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Coastal","Urban","20 - 25  MPH","Stop Sign","Clear","No","34.608913, -79.022606",-79.022606,34.608913
"24",138,139,"No","15-Nov",13,"No","Facing Traffic","B: Evident Injury","","Black","Female","Raleigh","Wake","No","01-01-02","2007-03-20","Motorist Left Turn / Merge",19,"Intersection","01-03-01","0001-01-01T14:03:58-04:56","Motorist Left Turn - Same Direction",192211,2007,"B: Evident Injury","Residential","50-59",56,"No","16-20 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","Flashing Signal With Stop Sign","Clear","No","35.776352, -78.62084",-78.62084,35.776352
"25",141,142,"Yes","16-19",19,"No","With Traffic","K: Killed","Travel Lane","White","Male","Jacksonville","Onslow","No","01-01-04","2007-03-22","Motorist Overtaking Bicyclist",0,"Non-Intersection","01-03-01","0000-12-31T19:18:58-04:56","Motorist Overtaking - Undetected Bicyclist",311231,2007,"K: Killed","Commercial","30-39",36,"No","51-55 mph","O: No Injury","White","Male","Pickup","No","No","Dark - Roadway Not Lighted","Urban (>70% Developed)","2 lanes",2,"Straight - Level","US Route","Dry","One-Way, Not Divided","None","Bridge","Smooth Asphalt","Coastal","Urban","50 - 55  MPH","No Control Present","Clear","No","34.747746, -77.40832",-77.40832,34.747746
"26",151,152,"No","10-Jun",6,"No","Not Applicable","C: Possible Injury","","White","Male","Gastonia","Gaston","No","","2007-03-26","Bicyclist Failed to Yield - Midblock",16,"Non-Intersection","01-03-01","0001-01-01T11:55:58-04:56","Bicyclist Ride Out - Midblock -",393319,2007,"C: Possible Injury","Residential","25-29",26,"No","26-30 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","30 - 35  MPH","No Control Present","Clear","No","35.26428, -81.21638",-81.21638,35.26428
"27",154,155,"Yes","15-Nov",12,"No","Not Applicable","B: Evident Injury","Driveway / Alley","White","Male","None - Rural Crash","Henderson","Yes","01-01-07","2007-03-25","Bicyclist Failed to Yield - Midblock",12,"Non-Intersection","01-03-01","0001-01-01T07:32:58-04:56","Bicyclist Ride Out - Residential Driveway",353311,2007,"B: Evident Injury","Farms, Woods, Pastures","40-49",45,"Yes","26-30 mph","O: No Injury","White","Male","Pickup","No","No","Daylight","Mixed (30% To 70% Developed)","2 lanes",2,"Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Gravel","Mountains","Rural","50 - 55  MPH","No Control Present","Clear","No","35.252415, -82.500824",-82.500824,35.252415
"28",162,163,"Yes","40-49",46,"Yes","Not Applicable","A: Disabling Injury","Non-Roadway","Black","Male","Wilmington","New Hanover","Yes","01-01-04","2007-03-29","Bicyclist Failed to Yield - Midblock",17,"Non-Intersection","01-03-01","0001-01-01T12:17:58-04:56","Bicyclist Ride Out - Commercial Driveway / Alley",363312,2007,"A: Disabling Injury","Commercial","20-24",23,"No","26-30 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","3 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","34.199417, -77.8706",-77.8706,34.199417
"29",164,165,"Yes","30-39",35,"No","Facing Traffic","C: Possible Injury","Bike Lane / Paved Shoulder","White","Male","None - Rural Crash","Dare","No","01-01-05","2007-03-30","Motorist Failed to Yield - Midblock",11,"Non-Intersection","01-03-01","0001-01-01T06:18:58-04:56","Motorist Drive Out - Commercial Driveway / Alley",322322,2007,"C: Possible Injury","Residential","40-49",49,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Level","NC Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt","Coastal","Rural","","No Control Present","Clear","No","35.353954, -75.50303",-75.50303,35.353954
"30",165,166,"No","15-Nov",14,"No","Facing Traffic","O: No Injury","","Black","Male","Raleigh","Wake","No","01-01-04","2007-03-29","Bicyclist Failed to Yield - Signalized Intersection",19,"Intersection-Related","01-03-01","0001-01-01T14:37:58-04:56","Bicyclist Ride Out - Signalized  Intersection",292153,2007,"O: No Injury","Commercial","30-39",33,"No","0-5 mph","O: No Injury","White","Female","Sport Utility","No","No","Dusk","Urban (>70% Developed)","7 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Coarse Asphalt","Piedmont","Urban","40 - 45  MPH","Stop And Go Signal","Clear","No","35.84979, -78.5809",-78.5809,35.84979
"31",186,187,"Yes","10-Jun",7,"No","Not Applicable","C: Possible Injury","Non-Roadway","Black","Male","Winston-Salem","Forsyth","No","01-01-03","2007-04-04","Bicyclist Failed to Yield - Midblock",18,"Non-Intersection","01-04-01","0001-01-01T13:12:58-04:56","Bicyclist Ride Out - Other Midblock",363318,2007,"C: Possible Injury","Residential","30-39",30,"No","21-25 mph","O: No Injury","Black","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","",2,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","No Control Present","Clear","No","36.122974, -80.22263",-80.22263,36.122974
"32",192,193,"No","20-24",23,"No","Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female","Charlotte","Mecklenburg","No","01-01-06","2007-04-07","Motorist Failed to Yield - Midblock",14,"Non-Intersection","01-04-01","0001-01-01T09:22:58-04:56","Motorist Drive Out - Residential Driveway",332321,2007,"C: Possible Injury","Residential","70+",NA,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","",2,"Straight - Level","Public Vehicular Area","Dry","Two-Way, Not Divided","None","Driveway, Public","Concrete","Piedmont","Urban","","No Control Present","Clear","No","35.1686, -80.8049",-80.8049,35.1686
"33",200,201,"Yes","15-Nov",12,"No","With Traffic","B: Evident Injury","Travel Lane","Black","Male","Kinston","Lenoir","No","","2007-07-02","Bicyclist Right Turn / Merge",20,"Non-Intersection","01-07-01","0001-01-01T15:26:58-04:56","Bicyclist Right Turn - Same Direction",311223,2007,"B: Evident Injury","Commercial","40-49",40,"No","26-30 mph","O: No Injury","White","Female","Passenger Car","No","No","Dusk","Urban (>70% Developed)","5 lanes",2,"Straight - Level","US Route","Dry","Two-Way, Divided, Unprotected Median","None","No Special Feature","Smooth Asphalt","Coastal","Urban","40 - 45  MPH","No Control Present","Clear","No","35.26691, -77.6304",-77.6304,35.26691
"34",209,210,"No","16-19",16,"No","Facing Traffic","C: Possible Injury","","Black","Male","Durham","Durham","No","01-01-04","2007-04-12","Motorist Failed to Yield - Sign-Controlled Intersection",19,"Intersection","01-04-01","0001-01-01T14:27:58-04:56","Motorist Drive Out - Sign-Controlled Intersection",192141,2007,"C: Possible Injury","Residential","50-59",59,"No","0-5 mph","O: No Injury","White","Male","Passenger Car","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Smooth Asphalt","Piedmont","Urban","30 - 35  MPH","Stop Sign","Clear","No","36.022438, -78.91769",-78.91769,36.022438
"35",210,211,"No","15-Nov",11,"No","","B: Evident Injury","Travel Lane","White","Female","Emerald Isle","Carteret","No","01-01-05","2007-04-13","Bicyclist Failed to Yield - Sign-Controlled Intersection",14,"Intersection","01-04-01","0001-01-01T09:23:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",119144,2007,"B: Evident Injury","Residential","30-39",33,"No","21-25 mph","O: No Injury","White","Male","Van","No","No","Daylight","Urban (>70% Developed)","4 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","T-Intersection","Coarse Asphalt","Coastal","Rural","20 - 25  MPH","Stop Sign","Clear","No","34.672802, -76.977646",-76.977646,34.672802
"36",213,214,"Yes","15-Nov",14,"No","With Traffic","B: Evident Injury","Travel Lane","White","Male","Salisbury","Rowan","No","01-01-05","2007-07-06","Bicyclist Failed to Yield - Sign-Controlled Intersection",17,"Intersection","01-07-01","0001-01-01T12:20:58-04:56","Bicyclist Ride Through - Sign-Controlled Intersection",111144,2007,"B: Evident Injury","Residential","50-59",58,"No","21-25 mph","O: No Injury","White","Female","Passenger Car","No","No","Daylight","Urban (>70% Developed)","2 lanes",2,"Straight - Grade","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt","Piedmont","Urban","20 - 25  MPH","Stop Sign","Clear","No","35.66668, -80.475426",-80.475426,35.66668
